"x","y","dist","rel.angle","behav_fine","behav_coarse","dt","id","obs","time1","SL","TA","tseg"
51.7180244990757,-264.685052583805,1.82355668554507,1.9743099572487,"Exploratory","Exploratory",3600,1,2285,2285,1,7,9
53.0134023212473,-266.302039911874,2.07187155038882,0.999717029838491,"Exploratory","Exploratory",3600,1,2286,2286,1,6,9
60.5881036806597,-268.985975130395,8.03614390995439,0.55485548112779,"Transit","Exploratory",3600,1,2287,2287,4,5,9
60.0640131367914,-266.143196000502,2.89068574555028,2.09363380518878,"Exploratory","Exploratory",3600,1,2288,2288,2,7,9
60.5261556029406,-266.428288630297,0.54300411285929,-2.30585635537269,"Exploratory","Exploratory",3600,1,2289,2289,1,2,9
59.5671295671483,-264.471297323625,2.17934529428385,2.57920189482016,"Exploratory","Exploratory",3600,1,2290,2290,1,8,9
57.5980693040874,-260.822825510016,4.14590700501888,0.0392397448471632,"Exploratory","Exploratory",3600,1,2291,2291,2,5,9
58.4335067124053,-259.341136683624,1.70098719615185,-1.00830453890271,"Exploratory","Exploratory",3600,1,2292,2292,1,3,9
59.6731495761935,-258.389303048095,1.56291448885236,-0.402574201517102,"Exploratory","Exploratory",3600,1,2293,2293,1,4,9
61.0999587269258,-258.721668425939,1.46500890679969,-0.883676148544294,"Exploratory","Exploratory",3600,1,2294,2294,1,3,9
60.5585548994848,-259.200315617038,0.722648765248574,-2.1887782417536,"Exploratory","Exploratory",3600,1,2295,2295,1,2,9
60.9899823132321,-257.451968643953,1.80079059072064,-2.53667870056415,"Exploratory","Exploratory",3600,1,2296,2296,1,1,9
59.6051648423269,-256.643834034977,1.60337175163754,1.28447690567603,"Exploratory","Exploratory",3600,1,2297,2297,1,6,9
60.3201573864605,-258.952456511575,2.41680617295205,2.39938230422387,"Exploratory","Exploratory",3600,1,2298,2298,1,8,9
61.7989285262843,-258.761810489424,1.49100972154368,1.39867427027179,"Exploratory","Exploratory",3600,1,2299,2299,1,6,9
60.9348187224348,-255.656050295963,3.22372953772444,1.71394650644304,"Exploratory","Exploratory",3600,1,2300,2300,2,7,9
60.2919300830906,-252.765324015909,2.96135175701774,-0.0525294573656048,"Exploratory","Exploratory",3600,1,2301,2301,2,4,9
